legid,activity
#22:17999,Accompanying
#25:17912,Cycling
#22:18058,Walking
#22:18058,Talking
#22:18058,Accompanying
#24:17932,Thinking
#22:18060,Walking
#22:18060,Talking
#22:18060,Thinking
#25:18017,Walking
#25:18017,Accompanying
#25:18017,Talking
#23:18001,Cycling
#24:18078,Cycling
#24:18078,Thinking
#22:18036,Cycling
#25:17945,Cycling
#23:18068,Thinking
#23:18068,Walking
#24:18010,Cycling
#24:17976,Cycling
#25:19367,Cycling
#23:18047,Accompanying
#23:18047,Talking
#23:18060,Cycling
#23:18266,Cycling
#23:18266,Listening
#23:18266,PersonalCare
#23:18266,Thinking
#24:17981,Cycling
#23:18017,Cycling
#23:18017,Listening
#26:5115,ReadingDevice
#24:17983,Cycling
#24:17983,Thinking
#24:18030,Walking
#25:17940,Cycling
#25:17940,Thinking
#24:18048,Relaxing
#24:17994,Cycling
#23:18028,Thinking
#23:18395,ReadingPaper
#22:18184,ReadingDevice
#22:18184,Accompanying
#24:18105,Cycling
#25:17936,Thinking
#25:17936,PersonalCare
#24:18005,Accompanying
#24:18005,Talking
#24:18072,Walking
#25:17966,Relaxing
#25:17966,Browsing
#25:17966,Listening
#25:17966,Watching
#23:18077,Driving
#23:18077,Talking
#23:18077,Thinking
#22:18073,Cycling
#22:18073,Thinking
#22:18073,PersonalCare
#24:18691,Walking
#24:18691,Thinking
#24:18012,ReadingPaper
#24:18012,Browsing
#24:18012,ReadingDevice
#23:18136,Cycling
#23:18136,Thinking
#25:17959,Cycling
#23:18041,Thinking
#23:18041,Cycling
#23:18154,Cycling
#23:18154,Thinking
#24:18080,ReadingDevice
#24:18080,Accompanying
#23:19457,Cycling
#23:19457,Accompanying
#23:18156,Cycling
#23:18156,Thinking
#24:18047,Listening
#22:18100,Cycling
#25:17960,Cycling
#22:18107,Walking
#22:18107,Thinking
#24:18029,Cycling
#24:18029,Listening
#24:18029,Thinking
#24:18029,Other
#22:18169,Listening
#22:18169,Talking
#25:17978,Cycling
#25:17978,Thinking
#25:17987,Cycling
#25:17987,Thinking
#23:18059,Cycling
#22:18120,Cycling
#23:18054,Cycling
#25:18105,Talking
#25:18105,Browsing
#22:18109,Talking
#22:18109,Accompanying
#22:18109,Walking
#24:18068,Cycling
#24:18068,Thinking
#23:18096,Cycling
#23:18096,Accompanying
#25:18000,Cycling
#25:18000,Cycling
